"Country Code","Year","Population"
"ABW","1961",55438
"AFG","1961",9166764
"AGO","1961",5753024
"ALB","1961",1659800
"AND","1961",14375
"ARB","1961",95044497
"ARE","1961",101078
"ARG","1961",20953077
"ARM","1961",1941491
"ASM","1961",20486
"ATG","1961",56144
"AUS","1961",10483000
"AUT","1961",7086299
"AZE","1961",4030320
"BDI","1961",2839666
"BEL","1961",9183948
"BEN","1961",2465867
"BFA","1961",4894580
"BGD","1961",49592802
"BGR","1961",7943118
"BHR","1961",167894
"BHS","1961",115108
"BIH","1961",3288602
"BLR","1961",8271216
"BLZ","1961",94703
"BMU","1961",45500
"BOL","1961",3764813
"BRA","1961",74351763
"BRB","1961",231678
"BRN","1961",85596
"BTN","1961",228918
"BWA","1961",537249
"CAF","1961",1529227
"CAN","1961",18271000
"CEB","1961",92237118
"CHE","1961",5434294
"CHI","1961",110399
"CHL","1961",7890156
"CHN","1961",660330000
"CIV","1961",3694205
"CMR","1961",5285231
"COD","1961",15637733
"COG","1961",1064111
"COL","1961",16982315
"COM","1961",194139
"CPV","1961",205956
"CRI","1961",1381917
"CSS","1961",4277802
"CUB","1961",7289826
"CUW","1961",126125
"CYM","1961",8026
"CYP","1961",576395
"CZE","1961",9586651
"DEU","1961",73377632
"DJI","1961",88498
"DMA","1961",61032
"DNK","1961",4611687
"DOM","1961",3406299
"DZA","1961",11404859
"EAP","1961",893537035
"EAR","1961",1002523576
"EAS","1961",1043546746
"ECA","1961",283416986
"ECS","1961",674972972
"ECU","1961",4676859
"EGY","1961",27744712
"EMU","1961",267825309
"ERI","1961",1432640
"ESP","1961",30739250
"EST","1961",1225077
"ETH","1961",22671190
"EUU","1961",413007006
"FCS","1961",124558907
"FIN","1961",4461005
"FJI","1961",407156
"FRA","1961",47444751
"FRO","1961",35115
"FSM","1961",45955
"GAB","1961",504167
"GBR","1961",52800000
"GEO","1961",3703600
"GHA","1961",6866539
"GIB","1961",23786
"GIN","1961",3633652
"GMB","1961",376737
"GNB","1961",623415
"GNQ","1961",258947
"GRC","1961",8398050
"GRD","1961",91260
"GRL","1961",33700
"GTM","1961",4336143
"GUM","1961",68072
"GUY","1961",589274
"HIC","1961",765955145
"HKG","1961",3168100
"HND","1961",2096407
"HPC","1961",166348536
"HRV","1961",4171672
"HTI","1961",3943364
"HUN","1961",10029321
"IBD","1961",1938089344
"IBT","1961",2329888868
"IDA","1961",391799524
"IDB","1961",126145959
"IDN","1961",90138235
"IDX","1961",265653565
"IMN","1961",48281
"IND","1961",458494963
"INX","1961",NA
"IRL","1961",2824400
"IRN","1961",22480418
"IRQ","1961",7475352
"ISL","1961",179029
"ISR","1961",2185000
"ITA","1961",50536350
"JAM","1961",1650806
"JOR","1961",973083
"JPN","1961",94943000
"KAZ","1961",10129861
"KEN","1961",8361441
"KGZ","1961",2255900
"KHM","1961",5873015
"KIR","1961",42257
"KNA","1961",51193
"KOR","1961",25765673
"KWT","1961",301336
"LAC","1961",212141158
"LAO","1961",2170343
"LBN","1961",1864605
"LBR","1961",1144986
"LBY","1961",1498071
"LCA","1961",90914
"LCN","1961",226564469
"LDC","1961",246406470
"LIC","1961",158069258
"LIE","1961",16894
"LKA","1961",10111646
"LMC","1961",975335639
"LMY","1961",2307413443
"LSO","1961",866462
"LTE","1961",1099620212
"LTU","1961",2823550
"LUX","1961",316845
"LVA","1961",2152681
"MAC","1961",170465
"MAF","1961",4453
"MAR","1961",12710547
"MCO","1961",22808
"MDA","1961",2605000
"MDG","1961",5223568
"MDV","1961",92350
"MEA","1961",108374227
"MEX","1961",39394126
"MHL","1961",15051
"MIC","1961",2149344185
"MKD","1961",1507654
"MLI","1961",5322266
"MLT","1961",325250
"MMR","1961",21438025
"MNA","1961",100458479
"MNE","1961",491140
"MNG","1961",982178
"MNP","1961",10302
"MOZ","1961",7541325
"MRT","1961",883221
"MUS","1961",680757
"MWI","1961",3700023
"MYS","1961",8418460
"NAC","1961",202007500
"NAM","1961",617277
"NCL","1961",81200
"NER","1961",3486295
"NGA","1961",46062905
"NIC","1961",1830400
"NLD","1961",11638712
"NOR","1961",3609800
"NPL","1961",10221759
"NRU","1961",4675
"NZL","1961",2419700
"OED","1961",801024442
"OMN","1961",564890
"OSS","1961",9366201
"PAK","1961",45984892
"PAN","1961",1167035
"PER","1961",10350242
"PHL","1961",27164617
"PLW","1961",9900
"PNG","1961",2051947
"POL","1961",29964000
"PRE","1961",192957526
"PRI","1961",2399722
"PRK","1961",11665595
"PRT","1961",8929316
"PRY","1961",1953328
"PSE","1961",NA
"PSS","1961",894213
"PST","1961",765517069
"PYF","1961",80703
"QAT","1961",51421
"ROU","1961",18555250
"RUS","1961",121236000
"RWA","1961",2996096
"SAS","1961",583894094
"SAU","1961",4218879
"SDN","1961",7769482
"SEN","1961",3295293
"SGP","1961",1702400
"SLB","1961",121396
"SLE","1961",2329204
"SLV","1961",2843240
"SMR","1961",15789
"SOM","1961",2814096
"SRB","1961",NA
"SSA","1961",233965691
"SSD","1961",3011110
"SSF","1961",234008580
"SST","1961",14538216
"STP","1961",64551
"SUR","1961",298188
"SVK","1961",4191667
"SVN","1961",1594131
"SWE","1961",7519998
"SWZ","1961",357453
"SXM","1961",NA
"SYC","1961",42889
"SYR","1961",4721896
"TCA","1961",5763
"TCD","1961",3060355
"TEA","1961",881860854
"TEC","1961",313380986
"TGO","1961",1597526
"THA","1961",28224204
"TJK","1961",2159123
"TKM","1961",1658362
"TLA","1961",216285875
"TLS","1961",508845
"TMN","1961",100458479
"TON","1961",63745
"TSA","1961",583894094
"TSS","1961",234008580
"TTO","1961",865360
"TUN","1961",4235937
"TUR","1961",28146893
"TUV","1961",6246
"TZA","1961",10373398
"UGA","1961",7006633
"UKR","1961",43203635
"UMC","1961",1174008546
"URY","1961",2571690
"USA","1961",183691000
"UZB","1961",8837349
"VCT","1961",82142
"VEN","1961",8461685
"VGB","1961",8155
"VIR","1961",34300
"VNM","1961",33666772
"VUT","1961",65713
"WLD","1961",3073368588
"WSM","1961",112119
"XKX","1961",966000
"YEM","1961",5260501
"ZAF","1961",17920673
"ZMB","1961",3140264
"ZWE","1961",3870756
"ABW","1962",56225
"AFG","1962",9345868
"AGO","1962",5866061
"ALB","1962",1711319
"AND","1962",15370
"ARB","1962",97682294
"ARE","1962",112472
"ARG","1962",21287682
"ARM","1962",2009526
"ASM","1962",21117
"ATG","1962",57144
"AUS","1962",10742000
"AUT","1962",7129864
"AZE","1962",4171425
"BDI","1962",2893669
"BEL","1962",9220578
"BEN","1962",2502896
"BFA","1962",4960326
"BGD","1962",51030137
"BGR","1962",8012946
"BHR","1962",173144
"BHS","1962",121083
"BIH","1962",3353226
"BLR","1962",8351928
"BLZ","1962",97384
"BMU","1962",46600
"BOL","1962",3838097
"BRA","1962",76573248
"BRB","1962",232586
"BRN","1962",89516
"BTN","1962",234706
"BWA","1962",550840
"CAF","1962",1556661
"CAN","1962",18614000
"CEB","1962",93014890
"CHE","1962",5573815
"CHI","1962",111457
"CHL","1962",8067136
"CHN","1962",665770000
"CIV","1962",3841071
"CMR","1962",5399922
"COD","1962",16041263
"COG","1962",1092292
"COL","1962",17500171
"COM","1962",197198
"CPV","1962",210867
"CRI","1962",1432585
"CSS","1962",4357746
"CUB","1962",7450402
"CUW","1962",128414
"CYM","1962",8146
"CYP","1962",577691
"CZE","1962",9624660
"DEU","1962",74025784
"DJI","1962",94204
"DMA","1962",61982
"DNK","1962",4647727
"DOM","1962",3521278
"DZA","1962",11690153
"EAP","1962",905445959
"EAR","1962",1026586722
"EAS","1962",1058028198
"ECA","1962",287761794
"ECS","1962",682938669
"ECU","1962",4812890
"EGY","1962",28506176
"EMU","1962",270324828
"ERI","1962",1469645
"ESP","1962",31023366
"EST","1962",1241623
"ETH","1962",23221389
"EUU","1962",416670637
"FCS","1962",127465500
"FIN","1962",4491443
"FJI","1962",421577
"FRA","1962",48119649
"FRO","1962",35570
"FSM","1962",47388
"GAB","1962",509806
"GBR","1962",53250000
"GEO","1962",3760300
"GHA","1962",7085464
"GIB","1962",24284
"GIN","1962",3690664
"GMB","1962",383523
"GNB","1962",629969
"GNQ","1962",262590
"GRC","1962",8448233
"GRD","1962",92425
"GRL","1962",35000
"GTM","1962",4464249
"GUM","1962",69604
"GUY","1962",606285
"HIC","1962",775950078
"HKG","1962",3305200
"HND","1962",2155652
"HPC","1962",170348129
"HRV","1962",4202104
"HTI","1962",4022593
"HUN","1962",10061734
"IBD","1962",1971767955
"IBT","1962",2373238348
"IDA","1962",401470393
"IDB","1962",129235885
"IDN","1962",92558005
"IDX","1962",272234508
"IMN","1962",48418
"IND","1962",467852537
"INX","1962",NA
